NIVEL DE AFORO (m),CAUDAL (m3/s),AREA (m2),ANCHO RIO (m),PERIMETRO (m),VELOCIDAD (m/s),YEAR
1.2,4.79,3.47,8.5,8.57,1.38,2021
1.01,1.89,2.76,8.5,8.57,0.62,2022
1.05,2.15,2.64,8.3,8.34,0.74,2023
0.97,1.11,2.07,7.5,7.54,0.46,2024
0.96,1.1,1.97,7.5,7.55,0.48,2025
0.92,1.36,2.07,8.3,8.35,0.56,2026
1.38,10.38,4.58,9.5,9.69,2.19,2027
0.97,1.22,1.64,7.0,7.02,0.7,2028
0.96,1.44,2.25,9.0,9.05,0.62,2029
0.97,1.71,2.47,9.3,9.35,0.66,2030
0.98,1.74,2.6,9.0,9.05,0.65,2031
1.06,3.03,3.4,9.3,9.36,0.86,2032
1.38,8.22,9.42,15.0,15.06,0.83,2033
1.01,2.56,3.43,10.5,10.58,0.71,2034
0.94,1.97,2.96,10.5,10.61,0.63,2035
1.01,1.84,3.77,13.3,13.42,0.48,2036
0.96,1.3,2.49,9.8,9.84,0.49,2037
0.94,1.12,2.32,9.8,9.86,0.41,2038
1.41,7.23,6.72,13.0,13.08,1.04,2039
1.46,7.69,8.67,13.0,13.08,0.88,2040
1.92,16.86,15.41,13.0,13.57,1.09,2041
1.7,12.38,12.41,13.0,13.06,1.0,2042
0.87,2.14,3.32,13.0,13.13,0.54,2043
0.85,1.72,2.78,11.5,11.56,0.59,2044
0.86,1.73,2.67,10.5,10.6,0.63,2045
0.82,1.18,2.27,11.0,11.06,0.49,2046
1.1,8.18,11.6,11.0,11.07,0.71,2047
1.35,15.36,13.02,11.0,11.09,1.16,2048
1.6,22.53,16.1,11.0,11.13,1.38,2049
1.4,13.08,12.26,11.0,11.12,1.05,2050
1.18,17.2,13.91,11.0,11.13,1.22,2051
1.15,4.79,4.42,10.0,10.2,1.01,2052
0.97,2.72,3.61,9.5,9.61,0.72,2053
1.03,3.98,4.39,8.5,8.67,0.9,2054
